source,dest,BCB_ans.csv,BCBCB_ans.csv,BCBDB_ans.csv,BCBFB_ans.csv,BDB_ans.csv,BDBCB_ans.csv,BDBDB_ans.csv,BDBFB_ans.csv,BFB_ans.csv,BFBCB_ans.csv,BFBDB_ans.csv,BFBFB_ans.csv
B2,B4,1,3,0,1,0,1,0,2,0,4,0,1
B2,B1,3,3,0,6,0,3,0,11,2,2,0,9
B2,B6,1,5,1,8,2,3,2,4,1,3,0,11
B2,B3,1,1,1,4,2,2,2,1,0,1,0,3
B2,B7,1,4,0,11,1,3,1,5,1,5,0,9
B4,B2,1,3,1,4,0,0,0,0,0,1,0,1
B4,B5,1,0,1,4,0,0,0,0,0,0,0,3
B4,B1,1,3,0,4,0,0,0,0,0,1,0,2
B5,B4,1,0,0,0,0,1,0,0,0,4,0,3
B5,B7,1,0,0,0,1,1,1,1,1,7,0,11
B1,B2,3,3,3,2,0,0,0,0,2,6,0,9
B1,B4,1,3,0,1,0,0,0,0,0,4,0,2
B1,B6,1,4,6,5,0,0,0,0,2,6,0,11
B1,B7,1,4,3,4,0,0,0,0,3,6,0,7
B6,B2,1,5,3,3,2,1,2,0,1,8,0,11
B6,B1,1,4,0,6,0,6,0,5,2,5,0,11
B6,B3,1,1,2,2,1,2,4,0,0,1,0,3
B6,B7,1,2,1,5,0,2,2,3,1,6,0,10
B3,B2,1,1,2,1,2,1,2,1,0,4,0,3
B3,B6,1,1,2,1,1,2,4,2,0,2,0,3
B7,B2,1,4,3,5,1,0,1,2,1,11,0,9
B7,B5,1,0,1,7,1,0,1,2,1,0,0,11
B7,B1,1,4,0,6,0,3,0,4,3,4,0,7
B7,B6,1,2,2,6,0,1,2,4,1,5,0,10
B1,B3,0,4,7,1,0,0,0,0,1,4,0,3
B1,B5,0,2,4,10,0,0,0,0,2,3,0,13
B3,B1,0,4,0,4,0,7,0,6,1,1,0,3
B3,B4,0,1,0,1,0,2,0,1,0,1,0,0
B3,B5,0,0,1,5,0,0,2,7,0,1,0,3
B3,B7,0,2,1,2,0,3,2,3,1,1,0,3
B4,B3,0,1,2,1,0,0,0,0,0,1,0,0
B4,B6,0,2,2,6,0,0,0,0,1,0,0,0
B4,B7,0,3,2,5,0,0,0,0,0,1,0,1
B6,B4,0,2,0,0,0,2,0,0,1,6,0,0
B6,B5,0,1,2,5,0,0,2,4,3,2,0,7
B2,B5,0,2,1,10,1,1,1,7,2,1,0,8
B5,B1,0,2,0,3,0,4,0,5,2,10,0,13
B5,B3,0,0,0,1,0,1,2,1,0,5,0,3
B5,B6,0,1,0,2,0,2,2,2,3,5,0,7
B5,B2,0,2,1,1,1,1,1,1,2,10,0,8
B7,B3,0,2,3,1,0,1,2,0,1,2,0,3
B7,B4,0,3,0,1,0,2,0,0,0,5,0,1
